task_name,variant,main_parameter_name,main_parameter_value,dtype,n_total,n_valid,n_bad,seed_list,best_l2_mean,best_l2_median,best_l2_std,best_l2_min,best_l2_max,final_l2_mean,final_l2_median,final_l2_std,final_l2_min,final_l2_max,bad_rate
burgers1d,burgers_more_points,nu,0.002,fp64,2,2,0,"0,1",0.046523612511057855,0.046523612511057855,0.0003345551213400718,0.0462870463160776,0.0467601787060381,0.050467132649203314,0.050467132649203314,8.063722457463112e-05,0.05041011352089053,0.0505241517775161,0.0
burgers1d,nu_0p001,nu,0.001,fp32,3,3,3,"0,1,2",0.28629547357559204,0.312531441450119,0.0486426313132943,0.2301674783229828,0.3161875009536743,0.3892252743244171,0.3161875009536743,0.20555078706974703,0.2301674783229828,0.6213208436965942,1.0
burgers1d,nu_0p001,nu,0.001,fp64,3,3,3,"0,1,2",0.3863221183838605,0.3950744994023785,0.015284859563630633,0.3686728799292377,0.3952189758199652,0.596845316237653,0.39531601318571635,0.3491430322949575,0.39521897581996523,1.0000009597072774,1.0
burgers1d,nu_0p01,nu,0.01,fp32,3,3,0,"0,1,2",0.04458825166026747,0.0452182851731777,0.0011069339693287503,0.0433101169764995,0.0452363528311252,0.04924183587233225,0.049273062497377396,0.00011041474296994969,0.049119170755147934,0.049333274364471436,0.0
burgers1d,nu_0p01,nu,0.01,fp64,3,3,0,"0,1,2",0.04365646577119323,0.0430148326372165,0.0029045692647791804,0.0411263609423979,0.0468282037339653,0.0492389878041661,0.049217967537794165,4.554046763270578e-05,0.04920775412950652,0.0492912417451976,0.0
burgers1d,nu_0p1,nu,0.1,fp32,3,3,0,"0,1,2",0.01948769887288403,0.0196734741330146,0.0004321604706482555,0.0189937148243188,0.0197959076613187,0.02361713784436385,0.023654714226722717,0.00012474768813205273,0.02347792126238346,0.023718778043985367,0.0
burgers1d,nu_0p1,nu,0.1,fp64,3,3,0,"0,1,2",0.019985713200834067,0.0199532973430125,0.0008520065752228757,0.0191503771711941,0.0208534650882956,0.0237660824473384,0.023810158892002505,8.502676308585023e-05,0.02366806725013773,0.023820021199874964,0.0
convection1d,convection_beta30,beta,30.0,fp32,2,2,2,"0,1",1.0001898407936096,1.0001898407936096,0.000148946962637264,1.0000845193862915,1.0002951622009275,1.1709406971931458,1.1709406971931458,0.007491602322811414,1.165643334388733,1.1762380599975586,1.0
convection1d,convection_beta30,beta,30.0,fp64,2,2,0,"0,1",0.007462936888774051,0.007462936888774051,0.005657906085414675,0.0034621931284607,0.0114636806490874,0.007593090601875082,0.007593090601875082,0.00584197123167525,0.003462193128460786,0.011723988075289378,0.0
convection1d,convection_beta30_beta30p0,beta,,fp16,2,0,2,"0,1",,,,,,,,,,,1.0
convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp16,2,1,2,"0,1",1.0009765625,1.0009765625,,1.0009765625,1.0009765625,1.0009765625,1.0009765625,,1.0009765625,1.0009765625,1.0
convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp32,2,2,0,"0,1",0.010941238608211251,0.010941238608211251,0.004104571599543113,0.0080388681963086,0.0138436090201139,0.010941238608211279,0.010941238608211279,0.004104571599543137,0.008038868196308613,0.013843609020113945,0.0
convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp64,2,2,0,"0,1",0.0066253707376576505,0.0066253707376576505,0.00016582034743408338,0.0065081180455283,0.006742623429787,0.006710488283064528,0.006710488283064528,4.544596032382907e-05,0.006678353136342014,0.006742623429787042,0.0
convection1d,convection_beta50,beta,50.0,fp32,1,1,1,0,0.741241991519928,0.741241991519928,,0.741241991519928,0.741241991519928,0.741241991519928,0.741241991519928,,0.741241991519928,0.741241991519928,1.0
