source_path,summary_path,metrics_path,task_name,variant,dtype,seed,main_parameter_name,main_parameter_value,best_l2_error,final_l2_error,final_loss,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,lr_adam,lbfgs_lr,resample_every,is_valid,is_bad
experiments_raw/final/final 2/runs/run017_helmholtz1d_helmholtz_resample_long_m8_fp16_s0,experiments_raw/final/final 2/runs/run017_helmholtz1d_helmholtz_resample_long_m8_fp16_s0/summary.json,experiments_raw/final/final 2/runs/run017_helmholtz1d_helmholtz_resample_long_m8_fp16_s0/metrics.csv,helmholtz1d,helmholtz_resample_long,fp16,0,m,8.0,,,,128.0,4.0,5000.0,0.0,2.0,10000.0,1000.0,,1.0,200.0,False,True
experiments_raw/final/final 2/runs/run018_helmholtz1d_helmholtz_resample_long_m8_fp16_s1,experiments_raw/final/final 2/runs/run018_helmholtz1d_helmholtz_resample_long_m8_fp16_s1/summary.json,experiments_raw/final/final 2/runs/run018_helmholtz1d_helmholtz_resample_long_m8_fp16_s1/metrics.csv,helmholtz1d,helmholtz_resample_long,fp16,1,m,8.0,,,,128.0,4.0,5000.0,0.0,2.0,10000.0,1000.0,,1.0,200.0,False,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r037_m9_resample_2k_fp32_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r037_m9_resample_2k_fp32_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r037_m9_resample_2k_fp32_s0/metrics.csv,helmholtz1d,helmholtz_m9,fp32,0,m,9.0,0.9996959567070008,1.0826159715652466,0.4736327528953552,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r033_m9_base_2k_fp32_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r033_m9_base_2k_fp32_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r033_m9_base_2k_fp32_s0/metrics.csv,helmholtz1d,helmholtz_m9,fp32,0,m,9.0,0.9996959567070008,6.16108512878418,0.004228903912007809,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,0.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r038_m9_resample_2k_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r038_m9_resample_2k_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r038_m9_resample_2k_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m9,fp32,1,m,9.0,0.8205289840698242,0.8205289840698242,0.00015533760597463697,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r058_m9_resample_100_soft_fp32_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r058_m9_resample_100_soft_fp32_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r058_m9_resample_100_soft_fp32_s1/metrics.csv,helmholtz1d,helmholtz_m9,fp32,1,m,9.0,0.9596766829490662,1.4011738300323486,0.0691278725862503,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,100.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r035_m9_base_2k_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r035_m9_base_2k_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r035_m9_base_2k_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m9,fp64,0,m,9.0,1.00001549583841,1.9017532793005028,0.24218075750832374,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,0.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r039_m9_resample_2k_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r039_m9_resample_2k_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r039_m9_resample_2k_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m9,fp64,0,m,9.0,1.00001549583841,1.6225472182533676,0.24217035769485545,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r048_m9_soft_lbfgs_fp64_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r048_m9_soft_lbfgs_fp64_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r048_m9_soft_lbfgs_fp64_s1/metrics.csv,helmholtz1d,helmholtz_m9,fp64,1,m,9.0,0.9121917404924468,3.0711746223884324,0.06202277967092779,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r044_m9_resample_5k_fp64_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r044_m9_resample_5k_fp64_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r044_m9_resample_5k_fp64_s1/metrics.csv,helmholtz1d,helmholtz_m9,fp64,1,m,9.0,0.9121917404924468,3.0711746223884324,0.06202277967092779,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
