task_name,main_parameter_name,main_parameter_value,variant,fp32_n_valid,fp32_n_total,fp32_bad_rate,fp32_median_best_l2,fp32_mean_best_l2,fp32_min_best_l2,fp32_max_best_l2,fp64_n_valid,fp64_n_total,fp64_bad_rate,fp64_median_best_l2,fp64_mean_best_l2,fp64_min_best_l2,fp64_max_best_l2,fp64_over_fp32_median,fp64_over_fp32_mean,conclusion
helmholtz1d,m,11.0,adam_only,2,2,1.0,0.6959944069385529,0.6959944069385529,0.6743218302726746,0.7176669836044312,2,2,1.0,0.6644842815818902,0.6644842815818902,0.5641369806375404,0.7648315825262401,0.9547264675656444,0.9547264675656444,unstable_or_seed_sensitive
helmholtz1d,m,11.0,base_2k,2,2,1.0,1.0000382363796234,1.0000382363796234,0.9997513890266418,1.000325083732605,2,2,1.0,0.9556324552699178,0.9556324552699178,0.911248342730892,1.0000165678089437,0.9555959167416787,0.9555959167416787,unstable_or_seed_sensitive
helmholtz1d,m,11.0,more_points_soft,2,2,1.0,0.8238373398780823,0.8238373398780823,0.6670244336128235,0.9806502461433412,2,2,1.0,0.91782062059764,0.91782062059764,0.8705080357747348,0.9651332054205454,1.114079899235286,1.114079899235286,unstable_or_seed_sensitive
helmholtz1d,m,11.0,resample_100_soft,2,2,1.0,0.6195481568574904,0.6195481568574904,0.2863378226757049,0.952758491039276,2,2,1.0,0.9208200545496547,0.9208200545496547,0.8842450899711777,0.9573950191281316,1.4862768040829848,1.4862768040829848,unstable_or_seed_sensitive
helmholtz1d,m,11.0,resample_2k,2,2,1.0,0.9998898804187775,0.9998898804187775,0.9997513890266418,1.000028371810913,2,2,1.0,0.9851772498985103,0.9851772498985103,0.9703243240439255,1.0000301757530952,0.9852857491525915,0.9852857491525915,unstable_or_seed_sensitive
helmholtz1d,m,11.0,resample_5k,2,2,1.0,0.8971443176269531,0.8971443176269531,0.8938377499580383,0.9004508852958679,2,2,1.0,0.8430182004375846,0.8430182004375846,0.7648315825262401,0.9212048183489292,0.9396684389279328,0.9396684389279328,unstable_or_seed_sensitive
helmholtz1d,m,11.0,soft_lbfgs,2,2,1.0,0.8971443176269531,0.8971443176269531,0.8938377499580383,0.9004508852958679,2,2,1.0,0.8430182004375846,0.8430182004375846,0.7648315825262401,0.9212048183489292,0.9396684389279328,0.9396684389279328,unstable_or_seed_sensitive
helmholtz1d,m,11.0,softer_lbfgs,2,2,1.0,0.8971443176269531,0.8971443176269531,0.8938377499580383,0.9004508852958679,2,2,1.0,0.8430182004375846,0.8430182004375846,0.7648315825262401,0.9212048183489292,0.9396684389279328,0.9396684389279328,unstable_or_seed_sensitive
helmholtz1d,m,12.0,adam_only,2,2,1.0,0.7711652219295502,0.7711652219295502,0.6410113573074341,0.9013190865516664,2,2,1.0,0.6354127061250652,0.6354127061250652,0.4911958784801864,0.779629533769944,0.8239644217035417,0.8239644217035417,unstable_or_seed_sensitive
helmholtz1d,m,12.0,base_2k,2,2,1.0,1.0001896023750305,1.0001896023750305,1.0000450611114502,1.0003341436386108,2,2,1.0,1.0002138901608468,1.0002138901608468,1.000101484613563,1.0003262957081305,1.0000242831816675,1.0000242831816675,unstable_or_seed_sensitive
helmholtz1d,m,12.0,helmholtz,4,4,1.0,0.9988885223865509,0.9988885223865509,0.9977800250053406,0.9999970197677612,2,2,1.0,0.9997862233202714,0.9997862233202714,0.9997685303210976,0.9998039163194452,1.00089869981845,1.00089869981845,unstable_or_seed_sensitive
helmholtz1d,m,12.0,helmholtz_main,2,2,1.0,0.9999948143959045,0.9999948143959045,0.9999876022338868,1.0000020265579224,2,2,1.0,0.9995139673514024,0.9995139673514024,0.999026778702152,1.0000011560006528,0.9995191504620026,0.9995191504620026,unstable_or_seed_sensitive
helmholtz1d,m,12.0,more_points_soft,2,2,1.0,0.9936592876911163,0.9936592876911163,0.98732727766037,0.9999912977218628,2,2,1.0,0.8922953162148053,0.8922953162148053,0.7918590599330966,0.992731572496514,0.8979892074356371,0.8979892074356371,unstable_or_seed_sensitive
helmholtz1d,m,12.0,resample_100_soft,2,2,1.0,0.9421449601650238,0.9421449601650238,0.9234357476234436,0.960854172706604,2,2,1.0,0.8905449009683568,0.8905449009683568,0.8229494042510993,0.9581403976856142,0.9452312952057518,0.9452312952057518,unstable_or_seed_sensitive
helmholtz1d,m,12.0,resample_2k,2,2,1.0,1.000018835067749,1.000018835067749,0.999985933303833,1.000051736831665,2,2,1.0,1.0023016171526695,1.0023016171526695,1.000101484613563,1.004501749691776,1.0022827390893752,1.0022827390893752,unstable_or_seed_sensitive
helmholtz1d,m,12.0,resample_5k,2,2,1.0,0.587784931063652,0.587784931063652,0.2466135323047638,0.9289563298225404,2,2,1.0,0.8840779469495255,0.8840779469495255,0.80425369797553,0.9639021959235208,1.5040840624302896,1.5040840624302896,unstable_or_seed_sensitive
helmholtz1d,m,12.0,resample_wide_256,3,3,1.0,0.9996394515037536,0.99958203236262,0.9994671940803528,0.9996394515037536,3,3,1.0,0.9992590815203,0.9994943653298224,0.9992590815203,0.999964932948867,0.9996194928252568,0.9999122963098982,unstable_or_seed_sensitive
