case,task_name,param,param_value,variant,fp32_n,fp32_bad_rate,fp32_median,fp32_min,fp32_max,fp64_n,fp64_bad_rate,fp64_median,fp64_min,fp64_max,ratio,result
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r07_m10_fp32_adam0,1,1.0,1.0149681568145752,1.0149681568145752,1.0149681568145752,0,,,,,,нет пары
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r08_m10_fp64_adam0,0,,,,,1,1.0,0.9995512117851952,0.9995512117851952,0.9995512117851952,,нет пары
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r09_m10_fp32_adam500,1,0.0,0.0165341366082429,0.0165341366082429,0.0165341366082429,0,,,,,,нет пары
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r10_m10_fp64_adam500,0,,,,,1,1.0,1.0035130802412142,1.0035130802412142,1.0035130802412142,,нет пары
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r11_m10_fp32_adam2000,1,0.0,0.0026900072116404,0.0026900072116404,0.0026900072116404,0,,,,,,нет пары
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_lbfgs_r12_m10_fp64_adam2000,0,,,,,1,1.0,1.0035130802412142,1.0035130802412142,1.0035130802412142,,нет пары
"Гельмгольц, m=8",helmholtz1d,m,8.0,helmholtz_lbfgs_r01_m8_fp32_adam0,1,1.0,1.0168980360031128,1.0168980360031128,1.0168980360031128,0,,,,,,нет пары
"Гельмгольц, m=8",helmholtz1d,m,8.0,helmholtz_lbfgs_r02_m8_fp64_adam0,0,,,,,1,1.0,0.9998590890430962,0.9998590890430962,0.9998590890430962,,нет пары
"Гельмгольц, m=8",helmholtz1d,m,8.0,helmholtz_lbfgs_r03_m8_fp32_adam500,1,0.0,0.0002143521705875,0.0002143521705875,0.0002143521705875,0,,,,,,нет пары
"Гельмгольц, m=8",helmholtz1d,m,8.0,helmholtz_lbfgs_r04_m8_fp64_adam500,0,,,,,1,1.0,1.01204815394529,1.01204815394529,1.01204815394529,,нет пары
"Гельмгольц, m=8",helmholtz1d,m,8.0,helmholtz_lbfgs_r05_m8_fp32_adam2000,1,0.0,9.030805813381448e-05,9.030805813381448e-05,9.030805813381448e-05,0,,,,,,нет пары
"Гельмгольц, m=8",helmholtz1d,m,8.0,helmholtz_lbfgs_r06_m8_fp64_adam2000,0,,,,,1,0.0,0.0004235102604261,0.0004235102604261,0.0004235102604261,,нет пары
"Теплопроводность, alpha=0.1",heat1d,alpha,0.1,smoke_heat1d_fp32_seed0,1,1.0,0.561500072479248,0.561500072479248,0.561500072479248,0,,,,,,нет пары
