case,task_name,param,param_value,variant,dtype,n_total,n_bad,n_valid,median_best_l2,mean_best_l2,min_best_l2,max_best_l2,median_final_l2,seeds,bad_rate
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_main_m12,fp32,2,2,2,0.9999948143959045,0.9999948143959045,0.9999876022338868,1.0000020265579224,1.0000017285346985,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_main_m12,fp64,2,2,2,0.9995139673514024,0.9995139673514024,0.999026778702152,1.0000011560006528,1.0000025393619338,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_resample_long_m12,fp16,2,2,0,,,,,,,1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_resample_long_m12,fp32,2,0,2,0.012530514737591099,0.012530514737591099,0.0063924300484359,0.0186685994267463,0.012530514737591147,"0, 1",0.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_resample_long_m12,fp64,2,0,2,0.0021135880520116,0.0021135880520116,0.0011424918594755,0.0030846842445477,0.0025480609936873334,"0, 1",0.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_rs_m12,fp32,2,0,2,0.0021599326282738997,0.0021599326282738997,0.0019692897330969,0.0023505755234509,0.0040075735887512565,"0, 1",0.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_rs_m12,fp64,2,0,2,0.000833988761593,0.000833988761593,0.0006387098016489,0.0010292677215371,0.0018461482932128188,"0, 1",0.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,more_points_soft,fp32,2,2,2,0.9936592876911163,0.9936592876911163,0.98732727766037,0.9999912977218628,4.190805673599243,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,more_points_soft,fp64,2,2,2,0.8922953162148053,0.8922953162148053,0.7918590599330966,0.992731572496514,4.057114564172863,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,resample_100_soft,fp32,2,2,2,0.9421449601650238,0.9421449601650238,0.9234357476234436,0.960854172706604,1.144071251153946,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,resample_100_soft,fp64,2,2,2,0.8905449009683568,0.8905449009683568,0.8229494042510993,0.9581403976856142,2.8513034761385985,"0, 1",1.0
