task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,source,variant,best_l2_error,elapsed_time,case_name,case_value,run_id,nu,init_gain,adam_steps_config,lr_adam,lbfgs_steps_config,lbfgs_max_iter,lbfgs_max_eval,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,resample_every,lbfgs_lr,best_step,l2_ratio,m,lambda_val,point_mode,hard_bc,bc_weight,run_name,adam_name,lbfgs_name,lbfgs_line_search_fn,beta,n_grid,error
helmholtz1d,fp64,1,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,3.6796629645012426e-07,0.0010292677215371,161.41834259033203,runs/helmholtz_rs_m12_fp64_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0010292677215371,161.41834259033203,m,12.0,,,,,,,,,,,,200.0,,11000.0,1.0,12.0,1.0,,,,,,,,,,
helmholtz1d,fp32,0,,128,4,5000,,,10000,1000,9.212950544679188e-07,0.0022322519216686,127.70034313201904,results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r001_m8_resample_proven_128_fp32_s0,helmholtz_large_lbfgs,resample_proven_128,0.0022322519216686,127.70034313201904,m,8.0,1.0,,,10000.0,0.0005,1000.0,1.0,,50.0,1e-08,1e-09,200.0,1.0,10200.0,1.0,8.0,,,False,1.0,,,,,,,
helmholtz1d,fp64,0,,128,4,5000,,,10000,1000,1.7426919943344067e-06,0.0010758262542644,128.07416677474976,results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r002_m8_resample_proven_128_fp64_s0,helmholtz_large_lbfgs,resample_proven_128,0.0010758262542644,128.07416677474976,m,8.0,2.0,,,10000.0,0.0005,1000.0,1.0,,50.0,1e-08,1e-09,200.0,1.0,10300.0,1.0,8.0,,,False,1.0,,,,,,,
helmholtz1d,fp32,0,,256,3,5000,,,8000,1000,0.0009372237254865,0.2373065054416656,122.66413736343384,results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r003_m8_resample_wide_256_fp32_s0,helmholtz_large_lbfgs,resample_wide_256,0.2373065054416656,122.66413736343384,m,8.0,3.0,,1.0,8000.0,0.0005,1000.0,3.0,,50.0,1e-08,1e-09,200.0,1.0,9000.0,1.0,8.0,,,False,1.0,,,,,,,
helmholtz1d,fp64,0,,256,3,5000,,,8000,1000,0.1332994085124055,2.205890885713629,147.1932294368744,results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r004_m8_resample_wide_256_fp64_s0,helmholtz_large_lbfgs,resample_wide_256,0.9991073065903948,147.1932294368744,m,8.0,4.0,,1.0,8000.0,0.0005,1000.0,3.0,,50.0,1e-08,1e-09,200.0,1.0,4600.0,2.207861829418069,8.0,,,False,1.0,,,,,,,
helmholtz1d,fp32,0,,128,4,5000,,,10000,1000,1.3776952982880175e-06,0.0186685994267463,139.69180274009705,results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r005_m12_resample_proven_128_fp32_s0,helmholtz_large_lbfgs,resample_proven_128,0.0186685994267463,139.69180274009705,m,12.0,5.0,,,10000.0,0.0005,1000.0,1.0,,50.0,1e-08,1e-09,200.0,1.0,11000.0,1.0,12.0,,,False,1.0,,,,,,,
helmholtz1d,fp64,0,,128,4,5000,,,10000,1000,2.030532768650081e-06,0.0030846842445477,139.5144064426422,results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r006_m12_resample_proven_128_fp64_s0,helmholtz_large_lbfgs,resample_proven_128,0.0030846842445477,139.5144064426422,m,12.0,6.0,,,10000.0,0.0005,1000.0,1.0,,50.0,1e-08,1e-09,200.0,1.0,11000.0,1.0,12.0,,,False,1.0,,,,,,,
helmholtz1d,fp32,0,,256,3,5000,,,8000,1000,0.5016689300537109,1.0000007152557373,196.79501867294312,results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r007_m12_resample_wide_256_fp32_s0,helmholtz_large_lbfgs,resample_wide_256,0.9996394515037536,196.79501867294312,m,12.0,7.0,,1.0,8000.0,0.0005,1000.0,3.0,,50.0,1e-08,1e-09,200.0,1.0,2600.0,1.0003613940520657,12.0,,,False,1.0,,,,,,,
helmholtz1d,fp64,0,,256,3,5000,,,8000,1000,0.5021591008449703,1.0000014776554678,101.71176409721376,results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r008_m12_resample_wide_256_fp64_s0,helmholtz_large_lbfgs,resample_wide_256,0.9992590815203,101.71176409721376,m,12.0,8.0,,1.0,8000.0,0.0005,1000.0,3.0,,50.0,1e-08,1e-09,200.0,1.0,4700.0,1.0007429465980318,12.0,,,False,1.0,,,,,,,
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,8000,0.0,2.0,5000,1000,6.637529850195278e-07,0.0035879830829799,217.91756987571716,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r001_m10_width192_adam5e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,helmholtz_inner10,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,0.0035879830829799,217.91756987571716,m,10.0,1.0,,,,0.0005,,10.0,,,,,250.0,1.0,,,10.0,1.0,,False,1.0,exp16_r001_m10_width192_adam5e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,adam5e4,lbfgs1,,,,
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,8000,0.0,2.0,5000,1000,4.517522378750825e-07,0.0004545846478039,2348.976495027542,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r002_m10_width192_adam5e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,helmholtz_inner10,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,0.0004545846478039,2348.976495027542,m,10.0,2.0,,,,0.0005,,10.0,,,,,250.0,1.0,,,10.0,1.0,,False,1.0,exp16_r002_m10_width192_adam5e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,adam5e4,lbfgs1,,,,
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,8000,0.0,2.0,5000,1000,8.826701218822564e-07,0.0034369314089417,201.71348094940183,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r003_m10_width192_adam5e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,helmholtz_inner10,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,0.0034369314089417,201.71348094940183,m,10.0,3.0,,,,0.0005,,10.0,,,,,250.0,0.5,,,10.0,1.0,,False,1.0,exp16_r003_m10_width192_adam5e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,adam5e4,lbfgs05,,,,
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,8000,0.0,2.0,5000,1000,2.876793346280932e-07,0.0103625617814471,1162.946890115738,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r004_m10_width192_adam5e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,helmholtz_inner10,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,0.0025258841433677,1162.946890115738,m,10.0,4.0,,,,0.0005,,10.0,,,,,250.0,0.5,,,10.0,1.0,,False,1.0,exp16_r004_m10_width192_adam5e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,adam5e4,lbfgs05,,,,
